Date;Series;Value
1997;Spirits;2751
1998;Spirits;2741
1999;Spirits;2911
2000;Spirits;2925
2001;Spirits;2925
2002;Spirits;2922
2003;Spirits;3157
2004;Spirits;3079
2005;Spirits;3230
2006;Spirits;3169
2007;Spirits;3346
2008;Spirits;3505
2009;Spirits;3526
2010;Spirits;3739
2011;Spirits;4405
2012;Spirits;4728
2013;Spirits;5246
2014;Spirits;5015
2015;Spirits;5237
2016;Spirits;5263
2017;Spirits;5694
2018;Spirits;6225
2019;Spirits;6230
2020;Spirits;7683
2021;Spirits;7646
2022;Spirits;7070
2023;Spirits;7003
1997;Wines, cider and perry;3986
1998;Wines, cider and perry;4207
1999;Wines, cider and perry;4541
2000;Wines, cider and perry;4832
2001;Wines, cider and perry;5037
2002;Wines, cider and perry;5366
2003;Wines, cider and perry;5684
2004;Wines, cider and perry;5877
2005;Wines, cider and perry;6013
2006;Wines, cider and perry;5947
2007;Wines, cider and perry;6416
2008;Wines, cider and perry;6541
2009;Wines, cider and perry;6720
2010;Wines, cider and perry;7047
2011;Wines, cider and perry;7441
2012;Wines, cider and perry;7865
2013;Wines, cider and perry;8573
2014;Wines, cider and perry;8231
2015;Wines, cider and perry;8380
2016;Wines, cider and perry;8442
2017;Wines, cider and perry;9069
2018;Wines, cider and perry;9422
2019;Wines, cider and perry;9445
2020;Wines, cider and perry;11721
2021;Wines, cider and perry;11593
2022;Wines, cider and perry;11129
2023;Wines, cider and perry;11808
1997;Beer;2978
1998;Beer;3263
1999;Beer;3103
2000;Beer;3167
2001;Beer;3149
2002;Beer;3264
2003;Beer;3668
2004;Beer;3452
2005;Beer;3310
2006;Beer;3597
2007;Beer;3536
2008;Beer;3501
2009;Beer;4061
2010;Beer;3733
2011;Beer;4021
2012;Beer;4093
2013;Beer;4718
2014;Beer;4598
2015;Beer;4615
2016;Beer;4564
2017;Beer;5153
2018;Beer;5739
2019;Beer;5708
2020;Beer;7393
2021;Beer;7466
2022;Beer;6181
2023;Beer;6338
1997;Tobacco;2978
1998;Tobacco;3263
1999;Tobacco;3103
2000;Tobacco;3167
2001;Tobacco;3149
2002;Tobacco;3264
2003;Tobacco;3668
2004;Tobacco;3452
2005;Tobacco;3310
2006;Tobacco;3597
2007;Tobacco;3536
2008;Tobacco;3501
2009;Tobacco;4061
2010;Tobacco;3733
2011;Tobacco;4021
2012;Tobacco;4093
2013;Tobacco;4718
2014;Tobacco;4598
2015;Tobacco;4615
2016;Tobacco;4564
2017;Tobacco;5153
2018;Tobacco;5739
2019;Tobacco;5708
2020;Tobacco;7393
2021;Tobacco;7466
2022;Tobacco;6181
2023;Tobacco;6338
